,Day,Return
954,10,1.00458182
955,9,0.98890918
956,8,1.01894983
957,7,0.99567753
958,4,0.9904859
959,3,0.99959242
960,2,1.00725282
961,1,0.99897471
962,31,1.00226074
963,28,1.00773214
964,27,1.02403676
965,26,0.96276885
966,25,0.99471903
967,24,0.96409922
968,21,0.9844493
969,20,1.01606163
970,19,1.02840261
971,18,0.9708605
972,17,1.00524246
973,14,0.98834197
974,13,0.99324542
975,12,1.01171494
976,11,1.00780533
977,10,1.02853673
978,7,1.01036058
979,6,1.00506953
980,5,0.99945224
981,4,1.00516173
982,3,0.98315177
983,31,1.00189818
984,30,0.99554566
985,29,1.00857668
986,28,1.00892796
987,27,0.99142098
988,24,1.00081772
989,23,0.99155405
990,22,0.99757347
991,21,1.00938903
992,20,0.98763607
993,17,0.99081225
994,16,0.99424108
995,15,0.98224967
996,14,0.99129874
997,13,0.99595584
998,10,1.01241308
999,9,1.01725506
1000,8,1.00531703
1001,7,0.95712468
1002,6,1.00743399
1003,3,0.99572459
1004,2,1.00726314
1005,1,0.9907661
1006,30,0.99758592
1007,29,0.9974021
1008,26,0.99633838
1009,25,1.002976
1010,24,0.99690696
1011,23,0.97971552
1012,22,1.00678663
1013,19,0.99547539
1014,18,1.00329581
1015,17,1.00644636
1016,16,0.9945845
1017,15,1.00689439
1018,12,0.99737451
1019,11,0.9991256
1020,10,1.00319549
1021,9,0.99993735
1022,8,0.9919826
1023,5,0.99795323
1024,4,0.9786937
1025,3,0.98469815
1026,2,1.00083752
1027,1,0.99940213
1028,29,1.00257747
1029,28,1.00065979
1030,27,0.9979648
1031,26,0.97667349
1032,25,1.0018743
1033,22,0.99632353
1034,21,1.00222248
1035,20,1.00363935
1036,19,0.96237713
1037,18,1.01322191
1038,15,1.00454232
1039,14,1.02065728
1040,13,1.03122731
1041,12,1.01461378
1042,11,0.98960928
1043,8,1.00876548
1044,7,0.98914691
1045,6,0.99770129
1046,5,1.00854127
1047,4,1.01555143
1048,1,1.0
1049,30,0.97593421
1050,29,0.99422869
1051,28,1.01538274
1052,27,1.04224456
1053,24,0.99042218
1054,23,1.00557597
