,Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA,newColumn
413,2017,10,10,16.979,17.250999999999998,16.94,17.117,9572,1.00925708,52.5308641,-0.12832977,10.0925708
414,2017,10,9,16.832,16.996,16.78,16.96,6870,1.00814361,48.19413184,-0.16108273,9.07329249
415,2017,10,6,16.597,16.865,16.334,16.823,13005,1.01325062,44.05253388,-0.18455894,6.07950372
416,2017,10,5,16.592,16.748,16.572,16.602999999999998,8379,1.00042179,36.4804815,-0.19788953,5.00210895
418,2017,10,3,16.588,16.671,16.562,16.636,7193,1.0028332,37.01397283,-0.17560741,3.0084996
421,2017,9,28,16.772000000000002,16.904,16.685,16.878,10709,1.00692042,40.83874951,-0.10010041,28.193771759999997
424,2017,9,25,16.999000000000002,17.172,16.844,17.169,12488,1.01023831,45.53887724,-0.00485668,25.25595775
425,2017,9,22,16.99,17.066,16.913,16.995,8988,1.00141418,40.43341647,0.01204092,22.03111196
428,2017,9,19,17.199,17.335,17.118,17.313,10769,1.00621876,47.02691945,0.14811291,19.118156440000003
431,2017,9,14,17.79,17.805999999999997,17.605999999999998,17.791,15205,1.0010691,60.36588125,0.2790711,14.0149674
433,2017,9,12,17.817,17.905,17.724,17.898,11432,1.00578814,64.14613755,0.31556824,12.06945768
436,2017,9,7,17.89,18.15,17.809,18.134,5044,1.01460303,74.46852155,0.33520176,7.10222121
438,2017,9,5,17.914,17.998,17.785999999999998,17.899,7313,1.00011175,71.47368382,0.29871641,5.000558750000001
439,2017,9,4,17.820999999999998,17.927,17.785999999999998,17.897000000000002,8868,1.00976078,71.44337399,0.27798947,4.03904312
440,2017,9,1,17.59,17.756,17.506,17.724,5608,1.00842057,68.7788593,0.24769451,1.00842057
441,2017,8,31,17.414,17.623,17.304000000000002,17.576,6291,1.00889731,66.27945361,0.22303884,31.27581661
442,2017,8,30,17.407,17.469,17.328,17.421,6137,1.00143711,63.4325841,0.20339413,30.043113299999998
444,2017,8,28,17.074,17.483,17.038,17.442999999999998,11790,1.02191107,64.40411674,0.17527286,28.613509960000002
445,2017,8,25,16.972,17.158,16.846,17.069000000000003,8127,1.0055968,57.16665072,0.14768104,25.13992
447,2017,8,23,16.99,17.105,16.922,17.097,6542,1.00606096,58.55517907,0.15682221,23.139402079999996
449,2017,8,21,16.949,17.13,16.848,17.017,7932,1.00105889,56.9916583,0.15586932,21.02223669
452,2017,8,16,16.65,17.139,16.627,17.133,12916,1.02993688,59.82145111,0.14633091,16.47899008
456,2017,8,10,16.965,17.246,16.865,17.128,13158,1.01050147,64.07520525,0.09445655,10.105014699999998
457,2017,8,9,16.456,16.965,16.454,16.95,13926,1.0303325,60.99303605,0.05175607,9.2729925
458,2017,8,8,16.275,16.483,16.237000000000002,16.451,9336,1.01075203,49.77629188,0.01462555,8.08601624
459,2017,8,7,16.294,16.304000000000002,16.135,16.276,6343,1.00073783,44.58724983,0.01782805,7.00516481
461,2017,8,3,16.592,16.7,16.444000000000003,16.669,8820,1.00524665,55.80098322,0.0677508,3.0157399499999995
464,2017,7,31,16.776,16.883,16.68,16.828,6981,1.00633895,62.05907501,0.04718524,31.19650745
465,2017,7,28,16.589000000000002,16.76,16.525,16.722,9153,1.00886878,59.52846144,0.01670074,28.24832584
467,2017,7,26,16.479,16.701,16.308,16.647000000000002,15909,1.00866457,58.213438,-0.03271893,26.225278820000003
468,2017,7,25,16.489,16.624000000000002,16.248,16.504,13165,1.0009704,54.46445158,-0.06645437,25.024259999999998
470,2017,7,21,16.309,16.526,16.308,16.512999999999998,10728,1.01102063,54.7838873,-0.12613123,21.23143323
471,2017,7,20,16.275,16.423,16.145,16.333,15704,1.00288591,50.17327326,-0.16787047,20.0577182
473,2017,7,18,16.127,16.337,16.098,16.289,14652,1.01142502,48.98376313,-0.23416464,18.20565036
474,2017,7,17,16.009,16.204,15.974,16.105,12659,1.00763311,44.20184881,-0.27419078,17.12976287
475,2017,7,14,15.718,16.082,15.616,15.982999999999999,16433,1.01718322,40.78452685,-0.30255591,14.24056508
477,2017,7,12,15.865,16.032,15.759,15.923,18969,1.00428887,36.00239154,-0.31450183,12.051466439999999
